T  Altitude (K km)
203.43  500  
201.86  510  
200.19  520  
198.44  530  
196.6   540  
194.68  550  
192.7   560  
190.64  570  
188.53  580  
186.35  590  
184.13  600  
181.86  610  
179.56  620  
177.21  630  
174.84  640  
172.45  650  
170.03  660  
167.61  670  
165.17  680  
162.73  690  
160.3   700  
157.87  710  
155.46  720  
153.06  730  
150.7   740  
148.36  750  
146.05  760  
143.79  770  
141.57  780  
139.4   790  
137.29  800  
135.24  810  
133.26  820  
131.35  830  
129.52  840  
127.77  850  
126.11  860  
124.55  870  
123.08  880  
121.72  890  
120.47  900  
119.34  910  
118.32  920  
117.43  930  
116.68  940  
116.06  950  
115.58  960  
115.25  970  
115.07  980  
115.05  990  
115.2   1000 
115.51  1010 
115.95  1020 
116.49  1030 
117.09  1040 
117.72  1050 
118.33  1060 
118.91  1070 
119.4   1080 
119.78  1090 
120     1100 
120.06  1110 
120.02  1120 
119.99  1130 
119.99  1140 
120     1150 
120.01  1160 
120.02  1170 
120.01  1180 
120     1190 
119.99  1200 
119.97  1210 
119.95  1220 
119.92  1230 
119.88  1240 
119.84  1250 
119.8   1260 
119.75  1270 
119.7   1280 
119.65  1290 
119.59  1300 
119.53  1310 
119.47  1320 
119.41  1330 
119.34  1340 
119.28  1350 
119.21  1360 
119.14  1370 
119.07  1380 
119     1390 
118.93  1400 
118.87  1410 
118.8   1420 
118.73  1430 
118.66  1440 
118.6   1450 
118.54  1460 
118.47  1470 
118.42  1480 
118.36  1490 
118.31  1500 
118.26  1510 
118.21  1520 
118.17  1530 
118.13  1540 
118.09  1550 
118.06  1560 
118.04  1570 
118.02  1580 
118.01  1590 
118     1600 
118     1610 
118     1620 
118.01  1630 
118.03  1640 
118.06  1650 
118.09  1660 
118.13  1670 
118.18  1680 
118.24  1690 
118.31  1700 
