 Lambda  Total   sCH2/H2  CH3/H    CH2/H/H  CH4+     CH3+H    CH2+H2   CH+H2/H  H+CH3    CH/H2/H 
    1.0 1.00E-21 0.00E+00 0.00E+00 0.00E+00 2.00E-22 2.00E-22 2.00E-22 2.00E-22 2.00E-22 0.00E+00
   23.6 2.60E-19 0.00E+00 0.00E+00 0.00E+00 5.51E-20 5.49E-20 5.10E-20 4.88E-20 5.02E-20 0.00E+00
   31.6 5.30E-19 0.00E+00 0.00E+00 0.00E+00 1.15E-19 1.14E-19 1.03E-19 9.73E-20 1.01E-19 0.00E+00
   39.8 1.00E-18 0.00E+00 0.00E+00 0.00E+00 2.20E-19 2.19E-19 1.93E-19 1.79E-19 1.88E-19 0.00E+00
   42.7 1.30E-18 0.00E+00 0.00E+00 0.00E+00 2.88E-19 2.87E-19 2.50E-19 2.31E-19 2.43E-19 0.00E+00
   40.0 5.90E-20 0.00E+00 0.00E+00 0.00E+00 1.30E-20 1.29E-20 1.14E-20 1.06E-20 1.11E-20 0.00E+00
   63.0 1.50E-19 0.00E+00 0.00E+00 0.00E+00 3.49E-20 3.46E-20 2.83E-20 2.50E-20 2.71E-20 0.00E+00
  100.0 3.70E-19 0.00E+00 0.00E+00 0.00E+00 9.32E-20 9.23E-20 6.75E-20 5.43E-20 6.28E-20 0.00E+00
  158.0 1.30E-18 0.00E+00 0.00E+00 0.00E+00 3.67E-19 3.62E-19 2.24E-19 1.50E-19 1.97E-19 1.44E-34
  250.0 3.70E-18 0.00E+00 0.00E+00 0.00E+00 1.22E-18 1.20E-18 5.76E-19 2.44E-19 4.57E-19 0.00E+00
  278.0 4.00E-18 0.00E+00 0.00E+00 0.00E+00 1.38E-18 1.35E-18 6.03E-19 2.04E-19 4.60E-19 0.00E+00
  303.7 4.00E-18 0.00E+00 0.00E+00 0.00E+00 1.44E-18 1.40E-18 5.84E-19 1.49E-19 4.28E-19 4.44E-34
  358.4 1.17E-17 0.00E+00 0.00E+00 0.00E+00 4.73E-18 4.71E-18 1.22E-18 2.97E-19 7.43E-19 2.60E-33
  363.0 9.80E-18 0.00E+00 0.00E+00 0.00E+00 4.00E-18 3.99E-18 9.84E-19 2.39E-19 5.86E-19 1.09E-33
  374.0 1.31E-17 0.00E+00 0.00E+00 0.00E+00 5.47E-18 5.47E-18 1.20E-18 2.89E-19 6.68E-19 0.00E+00
  418.8 1.68E-17 0.00E+00 0.00E+00 0.00E+00 7.45E-18 7.44E-18 1.25E-18 2.59E-19 4.00E-19 0.00E+00
  434.0 1.61E-17 0.00E+00 0.00E+00 0.00E+00 7.27E-18 7.27E-18 1.11E-18 2.03E-19 2.55E-19 0.00E+00
  452.0 1.96E-17 0.00E+00 0.00E+00 0.00E+00 8.99E-18 9.04E-18 1.20E-18 1.84E-19 1.83E-19 0.00E+00
  459.6 1.82E-17 0.00E+00 0.00E+00 0.00E+00 8.37E-18 8.46E-18 1.06E-18 1.47E-19 1.64E-19 0.00E+00
  475.0 1.97E-17 0.00E+00 0.00E+00 0.00E+00 9.10E-18 9.29E-18 1.04E-18 1.18E-19 1.48E-19 0.00E+00
  508.4 2.30E-17 0.00E+00 0.00E+00 0.00E+00 1.07E-17 1.11E-17 1.06E-18 9.20E-20 1.22E-19 0.00E+00
  525.8 2.38E-17 0.00E+00 0.00E+00 0.00E+00 1.10E-17 1.15E-17 1.05E-18 8.41E-20 1.13E-19 0.00E+00
  529.5 2.16E-17 0.00E+00 0.00E+00 0.00E+00 9.99E-18 1.05E-17 9.51E-19 7.25E-20 1.01E-19 0.00E+00
  533.6 2.12E-17 0.00E+00 0.00E+00 0.00E+00 9.80E-18 1.03E-17 9.27E-19 6.70E-20 9.71E-20 2.35E-33
  539.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 1.15E-17 1.22E-17 1.08E-18 6.87E-20 1.03E-19 0.00E+00
  555.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 1.15E-17 1.24E-17 1.04E-18 4.36E-20 6.86E-20 0.00E+00
