 Lambda  Total   N/N      N+N      N2+     
    1.0 8.00E-23 0.00E+00 4.00E-23 4.00E-23
    9.9 4.20E-20 0.00E+00 2.04E-20 2.16E-20
   13.4 8.90E-20 0.00E+00 4.28E-20 4.62E-20
   29.0 1.40E-18 0.00E+00 6.40E-19 7.60E-19
   30.0 7.00E-20 0.00E+00 3.19E-20 3.81E-20
   44.6 1.80E-19 0.00E+00 7.80E-20 1.02E-19
   68.0 4.50E-19 0.00E+00 1.79E-19 2.71E-19
  100.0 8.50E-19 0.00E+00 2.96E-19 5.54E-19
  150.0 2.40E-18 0.00E+00 6.52E-19 1.75E-18
  209.3 6.50E-18 0.00E+00 1.18E-18 5.32E-18
  247.2 9.80E-18 0.00E+00 1.21E-18 8.59E-18
  303.8 1.20E-17 0.00E+00 4.36E-19 1.16E-17
  348.0 1.60E-17 0.00E+00 4.54E-19 1.55E-17
  395.0 1.85E-17 0.00E+00 4.48E-19 1.81E-17
  430.0 2.10E-17 0.00E+00 4.17E-19 2.06E-17
  435.0 2.37E-17 0.00E+00 4.47E-19 2.33E-17
  498.0 2.42E-17 0.00E+00 3.46E-20 2.42E-17
  507.5 2.43E-17 0.00E+00 8.12E-21 2.43E-17
  508.2 2.23E-17 0.00E+00 5.65E-21 2.23E-17
  510.4 2.30E-17 0.00E+00 0.00E+00 2.30E-17
  519.6 2.58E-17 5.16E-19 0.00E+00 2.53E-17
  522.2 2.36E-17 8.26E-19 0.00E+00 2.28E-17
  525.8 2.62E-17 5.24E-19 0.00E+00 2.57E-17
  537.0 2.52E-17 8.82E-19 0.00E+00 2.43E-17
  553.3 2.49E-17 9.96E-19 0.00E+00 2.39E-17
  554.1 2.53E-17 1.39E-18 0.00E+00 2.39E-17
  554.5 2.46E-17 1.84E-18 0.00E+00 2.28E-17
  555.3 2.48E-17 1.12E-18 0.00E+00 2.37E-17
  584.3 2.31E-17 1.16E-19 0.00E+00 2.30E-17
  597.8 2.34E-17 7.02E-19 0.00E+00 2.27E-17
  599.6 2.34E-17 1.08E-18 0.00E+00 2.23E-17
  600.0 2.74E-17 1.21E-18 0.00E+00 2.62E-17
  608.4 2.34E-17 1.17E-19 0.00E+00 2.33E-17
  609.8 2.60E-17 1.30E-19 0.00E+00 2.59E-17
  610.8 2.33E-17 2.33E-19 0.00E+00 2.31E-17
  617.0 2.37E-17 4.74E-19 0.00E+00 2.32E-17
  620.0 2.90E-17 6.94E-19 0.00E+00 2.83E-17
  624.6 2.40E-17 7.20E-19 0.00E+00 2.33E-17
  625.1 2.39E-17 7.17E-19 0.00E+00 2.32E-17
  625.8 2.40E-17 4.80E-19 0.00E+00 2.35E-17
  629.7 2.42E-17 7.26E-19 0.00E+00 2.35E-17
  630.0 2.92E-17 9.09E-19 0.00E+00 2.83E-17
  640.0 2.94E-17 2.03E-18 0.00E+00 2.74E-17
  650.0 2.94E-17 3.14E-18 0.00E+00 2.63E-17
  660.0 2.79E-17 4.04E-18 0.00E+00 2.39E-17
  670.0 2.21E-17 4.04E-18 0.00E+00 1.81E-17
  671.4 2.38E-17 4.47E-18 0.00E+00 1.93E-17
  674.1 2.16E-17 3.35E-18 0.00E+00 1.83E-17
  675.1 2.57E-17 5.40E-18 0.00E+00 2.03E-17
  679.7 2.16E-17 4.06E-18 0.00E+00 1.75E-17
  681.9 2.90E-17 5.19E-18 0.00E+00 2.38E-17
  685.0 2.43E-17 1.09E-18 0.00E+00 2.32E-17
  685.7 2.49E-17 1.00E-18 0.00E+00 2.39E-17
  686.3 2.41E-17 1.08E-18 0.00E+00 2.30E-17
  690.9 2.08E-17 3.35E-18 0.00E+00 1.75E-17
  694.9 3.54E-17 5.59E-18 0.00E+00 2.98E-17
  700.0 2.38E-17 5.57E-18 0.00E+00 1.82E-17
  710.0 2.53E-17 6.18E-18 0.00E+00 1.91E-17
  715.3 2.31E-17 5.77E-18 0.00E+00 1.73E-17
  721.3 2.68E-17 7.64E-18 0.00E+00 1.92E-17
  723.4 4.91E-17 8.20E-18 0.00E+00 4.09E-17
  726.0 2.57E-17 6.32E-18 0.00E+00 1.94E-17
  729.5 2.96E-17 8.55E-18 0.00E+00 2.10E-17
  733.0 2.62E-17 7.44E-18 0.00E+00 1.88E-17
  734.8 2.66E-17 5.96E-18 0.00E+00 2.06E-17
  735.9 2.20E-17 3.37E-18 0.00E+00 1.86E-17
  736.8 2.31E-17 1.86E-18 0.00E+00 2.12E-17
  737.4 1.75E-17 1.12E-18 0.00E+00 1.64E-17
  737.8 2.27E-17 1.86E-18 0.00E+00 2.08E-17
  738.4 1.71E-17 3.71E-19 0.00E+00 1.67E-17
  739.7 2.43E-17 6.17E-18 0.00E+00 1.81E-17
  740.5 1.56E-17 2.61E-18 0.00E+00 1.30E-17
  741.4 1.60E-17 7.44E-19 0.00E+00 1.53E-17
  742.6 1.53E-17 2.98E-18 0.00E+00 1.23E-17
  743.7 2.83E-17 2.97E-18 0.00E+00 2.53E-17
  744.7 2.53E-17 1.04E-17 0.00E+00 1.49E-17
  745.5 2.77E-17 5.15E-18 0.00E+00 2.25E-17
  746.5 2.53E-17 1.34E-17 0.00E+00 1.19E-17
  747.0 2.12E-17 7.44E-18 0.00E+00 1.38E-17
  747.6 2.53E-17 5.21E-18 0.00E+00 2.01E-17
  748.4 2.08E-17 3.35E-18 0.00E+00 1.75E-17
  749.3 2.79E-17 1.45E-17 0.00E+00 1.34E-17
  749.6 2.64E-17 1.04E-17 0.00E+00 1.60E-17
  750.8 3.24E-17 2.24E-17 0.00E+00 1.00E-17
  752.0 1.57E-17 4.14E-18 0.00E+00 1.16E-17
  752.5 2.08E-17 7.80E-18 0.00E+00 1.30E-17
  752.9 1.94E-17 7.84E-18 0.00E+00 1.16E-17
  754.3 5.17E-17 1.68E-17 0.00E+00 3.49E-17
  756.5 1.56E-17 5.19E-18 0.00E+00 1.04E-17
  757.3 3.57E-17 1.93E-17 0.00E+00 1.64E-17
  757.7 2.27E-17 9.67E-18 0.00E+00 1.30E-17
  758.5 3.24E-17 1.00E-17 0.00E+00 2.24E-17
  758.7 2.39E-17 5.98E-18 0.00E+00 1.79E-17
  759.4 1.16E-17 1.62E-18 0.00E+00 9.98E-18
  759.5 1.56E-17 4.84E-18 0.00E+00 1.08E-17
  760.3 1.98E-17 8.51E-18 0.00E+00 1.13E-17
  761.1 4.01E-17 1.80E-17 0.00E+00 2.21E-17
  761.5 3.87E-17 2.05E-17 0.00E+00 1.82E-17
  762.0 2.78E-17 1.50E-17 0.00E+00 1.28E-17
  762.7 1.28E-17 5.20E-18 0.00E+00 7.60E-18
  763.3 2.73E-17 5.46E-18 0.00E+00 2.18E-17
  763.6 2.90E-17 5.95E-18 0.00E+00 2.31E-17
  764.4 1.35E-17 4.19E-18 0.00E+00 9.32E-18
  764.5 2.31E-17 8.57E-18 0.00E+00 1.45E-17
  765.0 4.69E-17 1.19E-17 0.00E+00 3.50E-17
  765.1 8.54E-17 1.96E-17 0.00E+00 6.58E-17
  767.0 1.14E-17 1.38E-18 0.00E+00 1.00E-17
  768.5 2.90E-17 1.16E-17 0.00E+00 1.74E-17
  770.5 1.02E-17 2.30E-18 0.00E+00 7.91E-18
  771.5 6.33E-17 3.54E-17 0.00E+00 2.79E-17
  774.0 1.04E-17 2.86E-18 0.00E+00 7.54E-18
  774.5 3.40E-17 2.04E-17 0.00E+00 1.36E-17
  778.5 2.68E-17 1.38E-17 0.00E+00 1.30E-17
  779.9 1.28E-17 4.48E-18 0.00E+00 8.32E-18
  780.0 1.49E-17 7.35E-18 0.00E+00 7.55E-18
  781.0 4.47E-17 8.58E-18 0.00E+00 3.61E-17
  782.5 1.45E-17 5.02E-18 0.00E+00 9.48E-18
  783.5 8.56E-17 4.69E-17 0.00E+00 3.87E-17
  785.2 1.51E-17 6.34E-18 0.00E+00 8.76E-18
  786.2 2.98E-17 1.32E-17 0.00E+00 1.66E-17
  787.7 8.41E-18 9.25E-19 0.00E+00 7.48E-18
  788.0 7.44E-18 2.22E-18 0.00E+00 5.22E-18
  789.5 2.94E-17 1.49E-17 0.00E+00 1.45E-17
  790.2 2.27E-17 1.24E-17 0.00E+00 1.03E-17
  790.5 2.07E-17 8.69E-18 0.00E+00 1.20E-17
  792.0 5.17E-17 1.45E-17 0.00E+00 3.72E-17
  793.5 2.05E-17 1.63E-17 0.00E+00 4.24E-18
  795.0 4.24E-17 3.68E-17 0.00E+00 5.60E-18
  798.0 4.70E-18 4.70E-18 0.00E+00 0.00E+00
  801.0 5.51E-17 5.51E-17 0.00E+00 0.00E+00
  801.5 7.33E-17 7.33E-17 0.00E+00 0.00E+00
  802.2 4.17E-18 4.17E-18 0.00E+00 0.00E+00
  802.3 2.75E-17 2.75E-17 0.00E+00 0.00E+00
  803.7 1.30E-17 1.30E-17 0.00E+00 0.00E+00
  804.0 8.19E-18 8.19E-18 0.00E+00 0.00E+00
  804.5 3.35E-18 3.35E-18 0.00E+00 0.00E+00
